WARD,x,y
1.0,3.9960511108570533,-1.2994246536468783
2.0,10.37330724434481,0.3870882782485129
3.0,2.6426561276497633,0.4604959195251896
4.0,4.044713999810712,-0.13215375841352553
5.0,2.5530617192372786,0.3173713467258711
6.0,-3.6378633005424703,2.9247225328297315
7.0,-4.726362898023808,3.5743085184897785
8.0,-2.727401395200561,2.0577485391172416
9.0,-4.819969020996892,3.163524876525482
10.0,-4.13727609001708,-0.8786114594857695
11.0,1.191305422185606,-1.0194798627526227
12.0,-0.588312296915127,-0.2628781887760135
13.0,-0.7040774513069181,-2.955528012324792
14.0,-2.6992378345872003,0.5986157307533178
15.0,-5.2664718207406045,0.8155260976837188
16.0,-7.343685895920074,4.64037210315232
17.0,-4.692878449009921,3.7216113630419954
18.0,-3.4555984685170116,0.610394746427268
19.0,0.368844646911344,-3.3138763072203488
20.0,-4.993738806028307,3.388534520177633
21.0,-4.274524298719292,2.259273501387412
22.0,-4.282499594378431,0.19496851742978585
23.0,-0.8056869890231276,-1.9325511954170036
24.0,-5.104094227571888,2.3512350737175454
25.0,-1.1660219057253296,0.279359493660581
26.0,-2.4958892054104416,-0.12596914926879685
27.0,4.808668056277181,0.5819713310780207
28.0,-1.3339363110477793,1.4705491624219822
29.0,-2.4763649942964796,0.21183238380965144
30.0,-1.4558577821774212,-1.934882035996888
31.0,-1.807185443264565,-0.3845623932304001
32.0,4.719363128189814,-5.67688243122082
33.0,-2.140177954958832,-1.6419892602278316
34.0,5.2455455348700255,3.1547096473946463
35.0,-1.5957668182740217,-1.882921824668281
36.0,-1.386860926679511,-2.3425965777189197
37.0,-4.064999330102252,2.183885166897881
38.0,-1.1960266452876303,-2.8352711187597364
39.0,-1.773274672822589,-1.5467471274728768
40.0,3.176767523669256,-4.922908509141749
41.0,2.6432986157242593,-0.7034483276058374
42.0,14.314060292889513,15.4755070715297
43.0,6.359197423365641,-1.6149792838339119
44.0,7.853870036266577,-1.3899536848889853
45.0,0.5169227319461444,-2.557898935360368
46.0,4.311100811627649,-2.1129358354919177
47.0,4.244608283440255,-4.5496340040082375
48.0,2.6238245994292884,-3.83622937068408
49.0,0.6868034384102922,-0.6421220429424563
50.0,0.4780700804430856,-2.3271705714662048
