WARD,count
42.0,6487
34.0,3697
27.0,3033
2.0,2228
32.0,2223
44.0,2100
1.0,1973
47.0,1926
25.0,1924
33.0,1797
45.0,1579
31.0,1551
35.0,1527
11.0,1515
43.0,1466
40.0,1459
28.0,1453
36.0,1415
39.0,1326
30.0,1276
50.0,1249
46.0,1248
22.0,1235
12.0,1220
26.0,1218
48.0,1191
4.0,1190
41.0,1165
37.0,1154
15.0,1147
14.0,1125
3.0,1091
49.0,1077
16.0,1076
6.0,1065
29.0,1054
8.0,1015
24.0,998
18.0,975
21.0,949
38.0,933
23.0,929
10.0,883
19.0,878
20.0,818
17.0,816
13.0,793
9.0,784
5.0,714
7.0,646
