ward,biz_exposure
1,1167
2,1029
3,658
4,751
5,449
6,518
7,276
8,531
9,339
10,485
11,1058
12,1420
13,521
14,738
15,529
16,423
17,377
18,550
19,516
20,395
21,519
22,610
23,559
24,414
25,1185
26,664
27,2030
28,822
29,596
30,621
31,729
32,1179
33,776
34,2169
35,787
36,748
37,610
38,492
39,765
40,670
41,818
42,3251
43,838
44,969
45,834
46,598
47,1142
48,597
49,517
50,622
